cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score
Tmx1,12.5109005,Dynll1,16.678076,Efcab1,4.20909,Rps10,29.823093,Eif1,17.575891,Igfbpl1,7.5162754
Chga,12.488785,Maged1,16.530798,Cxxc4,4.2088013,Rplp2,29.717602,Ubb,17.487656,Selm,7.509113
Mapk15,12.439664,Ttr,16.441143,Saraf,4.2081656,Cdkn1c,29.658875,Serinc1,17.477886,Sod2,7.4944444
Morf4l2,12.407113,Pdia3,16.358232,Wdr6,4.2016954,Pfn1,29.535097,Mpzl1,17.354626,Hap1,7.473032
Ndufb10,12.298579,Mlxipl,16.275196,Ndufa1,4.191528,Gnb2l1,29.243534,Eef1a1,17.106672,Atraid,7.467736
Smdt1,12.280364,Calr,16.15655,Pcbd1,4.1759877,Wfdc15b,29.204943,Dnaja1,16.95316,Rnf130,7.353168
Ndufa1,12.149738,Ndufa1,16.105991,Capsl,4.163394,Siva1,29.007904,Lrrc42,16.931454,Sec13,7.3418527
Camk2b,12.148022,G6pc2,15.983708,Bex2,4.151782,Hmga2,28.963545,Sulf2,16.878595,Pld3,7.2981896
Atp6v0e,12.081533,Tbcb,15.979902,Itm2b,4.137628,Rpl13a,28.710655,Rpl9,16.818008,Glul,7.2977705
Minos1,11.991308,Fkbp1a,15.878977,Ostc,4.1361837,Bst2,28.280596,Rpl4,16.76981,Emc10,7.1744776
Pgrmc1,11.957018,Mapt,15.741765,Calm2,4.1108227,Rpl19,28.278408,St3gal6,16.695261,Rcn1,7.1473885
Gnao1,11.92388,Bex2,15.704275,Ssr4,4.0693436,Tkt,28.271595,Casz1,16.525087,Tmem9,7.1204515
Slc7a2,11.92207,Tmem258,15.666953,Ahi1,4.009956,St3gal4,28.193876,Nono,16.466204,Prrg2,7.11527
Cplx2,11.862303,Calm2,15.655958,Cd47,4.006374,Eef1g,28.04981,Txnip,16.438087,Jam3,7.0814366
Immp1l,11.834805,Spcs2,15.557316,Npdc1,4.0039477,Hpgd,27.975843,Igsf8,16.359571,Acat1,7.073055
Sdf4,11.817789,Malat1,15.553953,Tram1,3.9896204,Rps29,27.879099,Clta,16.348179,Ccnd2,7.0619297
Slc7a14,11.794945,Uqcrq,15.5014715,Rai2,3.9802618,Kcnk1,27.569435,St6galnac2,16.226524,Calm1,6.9765086
Efcab1,11.75445,Rpn1,15.427103,Sdf4,3.9725206,Cldn7,27.568493,Pnrc1,16.21817,Pdia3,6.9673266
Hexa,11.735249,Atp5e,15.324802,Cdkn1a,3.935663,Adk,27.48936,Runx1t1,16.103456,Gnao1,6.9487715
Chic1,11.526217,BC031181,15.296341,Maged2,3.927864,Prdx1,27.414082,Eif3h,16.092531,Necab2,6.789779
Tmem163,11.480434,Ndufb10,15.292852,Tcp11,3.926882,Zfp36l1,27.268417,Cbfa2t2,16.027992,Edf1,6.741239
Tmed10,11.410727,Hsp90b1,15.284733,Ncam1,3.886616,Csrp1,26.935808,Yipf4,15.758608,Dad1,6.6790214
Rab37,11.380996,Vimp,15.230263,Ywhaq,3.8714223,Cmtm8,26.83676,Mapk3,15.749193,Pgrmc1,6.674297
Fxyd6,11.3616295,Hepacam2,15.227324,Prkar1a,3.846928,Cdc42ep1,26.800003,Rpl18a,15.746542,Gabarapl2,6.65879
Gnai1,11.292204,Lrpprc,15.227282,Nenf,3.8161938,Tpm1,26.73083,Zfand6,15.738589,Cpn1,6.6528845
Gnai2,11.239629,Cox8a,15.175306,Rgs17,3.7944722,Prdx4,26.673616,Lingo1,15.662049,Prox1os,6.6521606
2410015M20Rik,11.183786,Edf1,15.165262,Ergic3,3.7928548,Actn4,26.636456,Hbp1,15.642625,Swi5,6.6341014
Akr1c12,11.180144,2210013O21Rik,14.90082,Tshz1,3.7882907,Rpl26,26.523746,Celf3,15.547672,1500009L16Rik,6.590781
Ndufv3,11.058096,Dap,14.879252,Rock1,3.7614276,Hmgb2,26.453228,Casp6,15.514785,Syne1,6.5864377
Ubl3,11.027871,Sec11c,14.824486,Rab36,3.7385507,Rps26,26.255198,Rbfox3,15.476755,Morf4l2,6.5692163
Ica1,11.021973,Ndufb8,14.652723,Camk2b,3.7323692,Ptma,26.185335,Drap1,15.447434,Gng4,6.5593486
Cpn1,10.969233,Frzb,14.606923,Tsc22d1,3.7148647,Idh2,26.060009,Top1,15.360322,Trim35,6.554014
Npdc1,10.938444,Gars,14.600918,Dap,3.7052171,Rpl10,26.052254,Actb,15.344144,Glt8d1,6.5529094
Slc30a8,10.88822,Prkar1a,14.571589,Tshz2,3.6988046,Rpl22,25.75736,Shf,15.29045,Tspan3,6.5454035
Dap,10.84615,Tceb2,14.469796,Ctso,3.6792781,Tgm2,25.578909,Gltscr2,15.274721,Sdf4,6.524601
Prps1,10.821026,Parm1,14.44051,Sfxn2,3.6771984,Rps9,25.57822,Amotl2,15.255891,Etv1,6.4329314
Ctsl,10.817994,2410015M20Rik,14.43884,Tmem59,3.6733856,Pdgfa,25.442078,Gfra3,15.20758,Hist1h2bc,6.423864
Gch1,10.734467,Rab27a,14.370984,Ptprz1,3.6447315,Hmgn1,25.356485,Rgs17,15.181906,Hsp90b1,6.395403
Pak3,10.730448,Mrpl57,14.222143,Aip,3.6279204,Myl6,25.340084,Serping1,15.142543,Actr3,6.38824
Coa3,10.703068,Napa,14.125361,Casz1,3.600364,Rpl35a,25.31998,Chic2,15.135602,Ndufa1,6.3603506
Atraid,10.682761,Coa3,14.042536,Arf1,3.5803175,Sat1,25.195564,Rpl24,15.106924,Pdia6,6.3516636
Hist1h2bc,10.657378,Chmp2a,13.989525,Eri3,3.5614843,Nrtn,24.967672,Npepl1,15.046402,Rab7,6.347511
Ppy,10.654629,Ush1c,13.937973,Npepl1,3.5336392,Trim47,24.951893,Arf5,15.025532,Lrp11,6.3440056
Usmg5,10.654041,Swi5,13.935203,0610040J01Rik,3.5308661,Myl12b,24.934095,Csnk1e,14.986956,Hsbp1,6.2723007
Mapre3,10.60981,Cst3,13.880838,Gnai2,3.5176368,Epcam,24.89152,Dnajc7,14.978425,Ostc,6.2664332
Gabarapl2,10.445997,Slc25a4,13.87386,Anxa4,3.5116863,Rps13,24.854729,Aplp1,14.869222,Eif4a2,6.253822
Glul,10.439088,Tram1,13.86166,Dapk3,3.4914668,Sptssa,24.851482,Vps37a,14.761208,Ubb,6.2452116
H2-Ke6,10.335794,Slc30a8,13.858763,Gabarapl2,3.4853432,Mcm6,24.81666,Cystm1,14.736144,Lrpap1,6.2084827
Cct7,10.215744,Emb,13.832669,Pdia3,3.482859,Cat,24.785185,Ssbp3,14.709232,Map1b,6.195643
A1cf,10.178422,Hap1,13.790696,Sh2d3c,3.446406,Rbbp7,24.69453,Gtf2b,14.6588,Upp1,6.169849
Prkar1a,10.089371,Pdia4,13.756378,Prrg2,3.4412644,Krt19,24.681711,Bax,14.640822,Smdt1,6.1590285
Vat1l,10.05682,Rab3b,13.712797,Rpn2,3.4399357,Ctsh,24.64551,Cldn6,14.573167,A1cf,6.1449313
Ctsb,10.031202,Ffar4,13.71155,Rnf115,3.429768,Rpl24,24.622396,Tecpr1,14.559623,Atp6ap2,6.141617
Pld3,9.781865,Atp6v0d1,13.651878,Fam134a,3.428786,Rpl18,24.562105,Cfl1,14.474824,Prdx5,6.140588
Ffar4,9.73982,Tmed10,13.640903,Cpe,3.4074109,Smoc1,24.492445,Paip2,14.257029,Tcp11,6.0465946
Sez6l2,9.731993,Ghr,13.361512,Ica1,3.396088,Ezr,24.404902,Rps5,14.22872,Mbnl2,6.0044556
Malat1,9.731476,Sub1,13.355634,Peg3,3.377197,Selenbp1,24.394522,Hnrnpk,14.195591,Hagh,5.9869676
Gde1,9.663389,Fam174b,13.348952,Pdx1,3.3716512,Pamr1,24.382092,Chd7,14.071205,Pdia4,5.972832
Ptprn,9.654858,Gpd2,13.279595,Calm1,3.3594038,Ifitm2,24.325483,Klhdc2,13.959656,Runx1t1,5.967765
Ncoa7,9.613212,Srp9,13.17886,Egr1,3.355822,Lig1,24.324003,Psmb1,13.940858,Rph3al,5.929817
Hepacam2,9.606043,Klhl32,13.123523,Tpst1,3.3478496,Eef1b2,24.303413,Smarce1,13.881895,Atp6v1b2,5.9054327
Calm3,9.469964,Tubb3,13.0746565,Ece1,3.3449035,Spr,24.243359,Tmem176b,13.8631935,Malat1,5.8979654
Pcsk2os1,9.423406,Vcp,12.979588,Ssbp2,3.3365846,Gmnn,24.164764,Krt8,13.75865,0610011F06Rik,5.8916407
Ndufb8,9.422348,Exoc7,12.953093,Atp6v0b,3.3365266,Gstt1,24.051298,Sf3b1,13.74795,Usmg5,5.8855824
Cuta,9.355061,Atp2a2,12.893526,Erlec1,3.322893,Mboat1,23.979921,Pdk3,13.664436,Selk,5.875905
Fam213a,9.2938595,Ngfrap1,12.846562,Frk,3.2721705,Ehf,23.886322,Upk3bl,13.611498,Auts2,5.860322
Acat1,9.239334,S100a11,12.682328,Golim4,3.2672024,Atox1,23.84144,Lmna,13.513653,Gnai2,5.8527784
Ptbp3,9.195761,Syt7,12.633018,Rnf217,3.2644293,Litaf,23.718235,Vwa5b2,13.409013,Mapre3,5.8499207
Arl3,9.172658,Mllt11,12.598212,Cdh2,3.2641404,Col9a3,23.591478,Eif3m,13.329934,Efcab1,5.8366237
Chmp2a,9.172093,Tmsb15l,12.55017,Atp6ap2,3.252644,Rps3a1,23.436798,App,13.293126,Rpn1,5.826489
Tcta,9.138885,Ptbp3,12.53152,Map1b,3.2295938,Ranbp1,23.38194,Psma2,13.162233,Sms,5.8206215
Prdx5,9.115523,Tssc4,12.491133,Rbpms,3.2258387,Svbp,23.32054,Tspan3,13.153525,Tmem30a,5.7768445
Asb4,9.05531,Ndufb2,12.476374,Canx,3.2211015,Hebp1,23.269972,Cnot7,13.057818,Canx,5.7665954
Oaz1,9.010185,Atp6v0b,12.471214,Alcam,3.1990333,Fmo2,23.224619,Fgd2,13.0279665,Ssr1,5.747126
Anxa4,8.999374,Tusc3,12.423109,Bsg,3.192043,Aes,23.141888,Miat,13.003594,Ncam1,5.736344
Tshz2,8.978175,Pcbd1,12.393104,Gria2,3.182742,Acaa2,22.909893,Prrg2,12.923728,Erlec1,5.5551004
Gnaz,8.973709,Maob,12.347726,Cmip,3.1801424,Fgfr2,22.879646,Serinc2,12.865583,Trappc6b,5.5441656
Atpif1,8.945718,Sez6l2,12.337365,Dnajc12,3.1735566,Proser2,22.85342,Tmsb10,12.846111,Dctn3,5.5250015
Dpp4,8.943086,Cox17,12.322923,Ptprn,3.1709569,Rpl9,22.842318,Tpm4,12.832712,Pcmtd1,5.5060654
Sec61b,8.896832,Cplx2,12.319264,Khdrbs3,3.167895,Dek,22.835152,H3f3b,12.795261,Atp6ap1,5.4997787
Cd47,8.896152,Atpif1,12.265387,Chid1,3.1481376,Hspe1,22.808807,Ttc28,12.716472,Cadps,5.488006
Stub1,8.878407,Ufm1,12.249591,Snx4,3.142187,S100a11,22.721298,Hdac2,12.683472,Basp1,5.466822
Cox6a1,8.860968,Spock2,12.235678,Cuta,3.1380856,Ccdc34,22.517496,Fxyd3,12.658617,Prkar1a,5.3944697
Ndufa6,8.751423,Ndufa11,12.1604,Os9,3.1340995,Hmgb1,22.324175,Spint2,12.632364,Fkbp1a,5.384754
St6galnac5,8.745406,Hist1h2bc,12.151266,Pdia4,3.1320198,Lmo4,22.274668,Zfand5,12.616668,Chmp5,5.374696
Cope,8.680563,Atp6v0e,12.141687,Syne1,3.127629,Dtymk,22.151125,Nt5c2,12.599123,Mbtps1,5.359265
Cox17,8.66155,Smap2,12.123967,Tcta,3.117057,Txn1,22.072279,Bckdha,12.582334,Hexa,5.357398
Srp14,8.625614,Canx,12.122847,Pgrmc1,3.1070628,Fam3c,21.881464,Hsp90ab1,12.571601,Pcsk1n,5.3492064
Tpd52,8.600796,Calm1,12.122339,Nnat,3.0998993,Tmsb10,21.874449,Ube2e3,12.563841,Dnajc12,5.302953
Gria2,8.568809,Ubb,12.117666,Pgm3,3.0823371,Atp1a1,21.859478,Cct2,12.551037,Atxn10,5.2818832
Dpy30,8.567141,Npdc1,12.09595,Emc10,3.0778887,Ncl,21.805225,Lrpap1,12.526487,Zcrb1,5.268586
Ctso,8.552827,Vps35,12.003736,Tusc3,3.0699165,Lmnb1,21.795267,Arpc1a,12.498499,Slc35b1,5.2500696
Lrp11,8.535482,Ndufs8,11.982252,Prps1,3.0640817,Slc38a4,21.740477,Mtch1,12.438604,Celf3,5.2174177
Ppp1r1a,8.533579,Atp5h,11.964554,Tmem258,3.0443242,Rpl15,21.689522,Tpt1,12.312114,Smarca1,5.2139506
Cfap20,8.524319,Pcsk2os1,11.959056,Arl3,3.0362365,Rpl37,21.449268,Prom1,12.308756,Hacd1,5.2092643
Akap17b,8.516328,Jagn1,11.899152,Btbd1,3.0337522,Rpl30,21.423092,Atp6v1g1,12.274663,Os9,5.192233
Lamp1,8.450732,Ift20,11.828611,Puf60,3.0332901,Krt8,21.408962,Cnot6l,12.232135,Apoa1bp,5.1790504
Syt7,8.411014,Edem2,11.823325,St6galnac5,3.0276864,Acadm,21.292114,Commd3,12.16366,Vbp1,5.1619434
Gm1673,8.401895,Akr1c12,11.817996,Plekha1,3.0243356,Tead2,21.277933,Atp5f1,12.148654,Sdf2,5.145332
Lrpap1,8.4004135,Kif5b,11.793615,Chgb,3.0233536,Eef1a1,21.27615,Tsg101,12.085529,Capsl,5.1361876
Alcam,8.388145,Rab1a,11.655495,Gars,3.0201185,Tk1,21.117617,Rfx6,11.975185,Ids,5.11668
Usp18,8.3305645,Mapre3,11.605106,Acly,3.0145147,Hnrnpf,21.11363,Fam32a,11.7754965,Il11ra1,5.111613
Pja2,8.275898,Desi1,11.597473,Pcsk1,3.0024986,Ccnd2,20.960548,Snrpe,11.752233,Klhl7,5.0962586
Atp6v0b,8.271315,Anapc16,11.587302,Fis1,2.9881136,2810417H13Rik,20.91141,Klf13,11.746512,Ahi1,5.088867
Swi5,8.258483,Vapb,11.580535,Ssr1,2.986554,Gas6,20.76171,Atxn10,11.6496,Cnpy2,5.073627
Ppp1r37,8.2159195,Sep15,11.576729,Pcsk2os1,2.9660454,Tyms,20.698828,Smarca4,11.649006,Atp6v0d1,5.071379
Ubb,8.189573,Slc2a5,11.543806,Fam219a,2.961886,Polr2f,20.698305,Tead2,11.593015,Plekha1,5.05652
Sin3b,8.159678,Arf1,11.511243,Chga,2.9535093,Rps3,20.616701,Numbl,11.583809,Pigs,5.054196
Cadps,8.158315,Kif12,11.352252,Ush1c,2.941955,Rps25,20.536493,Srsf11,11.581013,Rab11a,5.0293164
Atp5e,8.150677,4833439L19Rik,11.346754,Zfhx2,2.938489,Rpl5,20.414885,Fau,11.526981,Ift57,5.0103426
Ghr,8.116081,Hagh,11.321845,Lrp11,2.935485,Pdlim1,20.408306,Lamp1,11.490495,Stub1,4.987673
Klhdc8b,8.112368,Gfpt1,11.299431,Stt3a,2.9297657,Gpc3,20.272753,Rps26,11.43264,Spcs2,4.983977
Romo1,8.10849,Trim35,11.261455,Sep15,2.9198291,H2afv,20.271526,Tmem206,11.392522,Med25,4.9624124
0610011F06Rik,8.099583,Mrps12,11.235509,Lsm1,2.9079285,Eif1ax,20.238924,Rps3a1,11.373998,Sec11c,4.9305606
Runx1t1,8.095493,Cib1,11.194318,Mapre3,2.904,Ybx1,20.206154,Gtf2a2,11.30917,Dusp10,4.9198923
Isg20,7.9933276,Npepl1,11.170445,Golgb1,2.9000716,Wnt7b,20.009066,Klc3,11.30472,Ubl3,4.873715
Ptov1,7.9784036,Ncam1,11.16444,Arid4b,2.8946412,Cdk1,19.930706,Pkm,11.264747,Wdr83os,4.8732576
Dctn3,7.9700603,Gabarapl2,11.117117,Stk32a,2.8770213,Rpl4,19.895212,Calm2,11.242639,Tmem184c,4.862513
Tspan13,7.9545016,Dpy30,11.092525,Rhoa,2.8335202,Cyb5a,19.894354,Eif4g2,11.229946,Pax6,4.84453
Ociad2,7.9470515,Bbip1,11.085547,Gabarap,2.8254902,Ccnd3,19.823347,Serpini1,11.115441,Trp53cor1,4.826432
Hint2,7.9025846,Tpd52,11.07525,Rpn1,2.8219662,Eef1d,19.745209,Eif5b,11.101962,Bax,4.8253655
Trappc6b,7.819151,Fam151a,11.0606165,Pde3b,2.8216772,Adgrg6,19.558498,Atp6v0b,11.044444,2210013O21Rik,4.823689
Anapc13,7.773627,Gnao1,11.056621,Dtd1,2.8210995,Tcf7l2,19.447168,Csnk1a1,11.0327635,Cope,4.8205647
Ndufa7,7.7669287,Eif1,11.042939,Smdt1,2.810181,Pmf1,19.288181,Ubl3,11.022658,Baiap3,4.811916
Ndufb11,7.7567754,Atp6v1g1,10.998894,Eci1,2.789095,Cks2,19.175186,Psmc6,11.001306,Pik3r1,4.7741966
Dad1,7.755412,Glul,10.990457,Actr3,2.7863796,Sbspon,19.10709,Gstz1,10.946729,Rpn2,4.7615857
Tceb2,7.74996,Zbtb20,10.987159,Nt5c3,2.7817001,Cdk6,19.045605,Swt1,10.836866,Iapp,4.752708
Ssbp4,7.731181,Cuta,10.964681,Nek1,2.7428787,Acadl,19.0451,Rpl7,10.816719,Lrrtm3,4.7346487
Ppp1r9a,7.7150116,Arpc5l,10.956286,Tmx1,2.7411454,Anp32b,19.027637,Pclo,10.808879,Scg3,4.711636
